;5e830856-0e75-47f0-9340-1e7cfb647bc5;2022-04-07T21:15:53.197Z;1;"110999;ERRO INESPERADO"
00000003_02038232000164_CBC_20210816_20210818;60f8274b-4a84-3710-b503-502404902541;2022-04-07T21:15:53.197Z;0;""
00000003_02038232000164_ACC_20210816_20210818;6ca528f7-2eba-3222-951e-fb81358f4bae;2022-04-07T21:15:53.197Z;0;""
00000003_02038232000164_ECD_20210816_20210818;b1617716-5b90-34d1-a6de-2f511f312a20;2022-04-07T21:15:53.197Z;0;""
00000003_02038232000164_CBD_20210816_20210818;b65a97b0-cf77-3e53-99f9-e1d775905d5d;2022-04-07T21:15:53.197Z;0;""
00000003_02038232000164_ECC_20210816_20210818;d7acf78b-6866-38bb-b091-509d81b01ee1;2022-04-07T21:15:53.197Z;0;""
